Tissue,SIDM,cell_line_name
Lung,SIDM01067,HCC-827
Lung,SIDM00294,LU-135
Endometrium,SIDM00334,MFE-296
Endometrium,SIDM00333,MFE-319
Lymphoid,SIDM00437,MOLM-13
Lung,SIDM00724,NCI-H2405
Lung,SIDM01124,NCI-H650
Ovary,SIDM00564,OVISE
Lymphoid,SIDM00451,PF-382
Skin,SIDM00108,UACC-257
Soft_tissue,SIDM00426,RH-41
Liver,SIDM00585,HUH-7
CNS,SIDM00343,LN-405
Lung,SIDM00766,NCI-H1876
Lung,SIDM00706,NCI-H209
Lymphoid,SIDM00461,OCI-AML5
Ovary,SIDM01140,PA-1
Soft_tissue,SIDM00847,RD
Lymphoid,SIDM00482,RPMI-8866
Pancreas,SIDM01188,SU8686
Lung,SIDM01163,SW1573
Large_intestine,SIDM01168,SW626
Biliary_tract,SIDM00267,TGBC24TKB
CNS,SIDM01189,U-87-MG
Lung,SIDM00133,HOP-62
Large_intestine,SIDM01233,C2BBE1
PNS,SIDM00285,CHP-134
Large_intestine,SIDM00944,CL-11
Breast,SIDM01062,HDQ-P1
Lymphoid,SIDM01007,KARPAS-45
Lung,SIDM01219,LU-99A
Lung,SIDM00749,NCI-H1573
Lung,SIDM00792,NCI-H1688
Lung,SIDM00761,NCI-H196
Lung,SIDM00702,NCI-H2122
Lung,SIDM00716,NCI-H2170
Lung,SIDM01122,NCI-H661
Large_intestine,SIDM00779,NCI-H716
CNS,SIDM01132,PFSK-1
Lymphoid,SIDM00406,SU-DHL-5
PNS,SIDM00578,NB1
Lung,SIDM00751,NCI-H1563
Lung,SIDM00726,NCI-H2347
Ovary,SIDM00321,TYK-NU
Ovary,SIDM00475,OV-56
Pancreas,SIDM01136,PANC-08-13
Bladder,SIDM01085,RT4
Lymphoid,SIDM00994,ALL-SIL
Lymphoid,SIDM00668,HS-445
Breast,SIDM00879,HCC1500
Bone,SIDM00269,ES7
Lung,SIDM00865,DMS-114
Lung,SIDM00598,HARA
Large_intestine,SIDM00833,SW837
Ovary,SIDM00918,CAOV-4
Lung,SIDM00922,CALU-3
Lung,SIDM00746,NCI-H1648
Head_neck,SIDM01080,SCC-9
Lymphoid,SIDM00813,RPMI-6666
Lymphoid,SIDM00671,HH
Lymphoid,SIDM01012,JVM-3
Lymphoid,SIDM01006,KARPAS-620
Ovary,SIDM00210,A2780
Prostate,SIDM00120,DU-145
Cervix,SIDM00889,C-33-A
Lymphoid,SIDM01064,HDLM-2
Lymphoid,SIDM00791,K-562
Lymphoid,SIDM00580,NOMO-1
Lymphoid,SIDM00457,OPM-2
PNS,SIDM01009,KELLY
Lung,SIDM00520,NCI-H2818
Lymphoid,SIDM01011,KARPAS-1106P
Lymphoid,SIDM00502,A4-FUK
Lymphoid,SIDM00438,MN-60
Stomach,SIDM00568,OCUM-1
Lymphoid,SIDM01245,BE-13
Lung,SIDM00953,CPC-N
Lymphoid,SIDM00391,SK-MM-2
Lung,SIDM00548,LK-2
PNS,SIDM00156,NB7
Thyroid,SIDM00218,RO82-W-1
CNS,SIDM00612,KINGS-1
Lymphoid,SIDM00313,L-1236
Lymphoid,SIDM00886,DB
Lung,SIDM01068,HCC-78
Lung,SIDM00306,IA-LM
Kidney,SIDM00611,KMRC-1
Lung,SIDM01128,NCI-H526
Ovary,SIDM00472,PEO1
Bone,SIDM01084,SAOS-2
Large_intestine,SIDM00782,T84
Head_neck,SIDM00501,BICR78
Pancreas,SIDM00934,CAPAN-1
Thyroid,SIDM01248,CGTH-W-1
Large_intestine,SIDM00842,COLO-320-HSR
Skin,SIDM00284,COLO-679
Lymphoid,SIDM00342,LOUCY
Lung,SIDM00292,LU-165
Lymphoid,SIDM00338,ME-1
Cervix,SIDM00627,ME-180
Lymphoid,SIDM00623,MO-T
Lung,SIDM00116,NCI-H522
Lung,SIDM01121,NCI-H69
Lung,SIDM01149,NCI-H847
Lymphoid,SIDM01148,NCI-H929
Lymphoid,SIDM00447,REH
Large_intestine,SIDM01096,SK-CO-1
Lymphoid,SIDM00407,SU-DHL-6
Skin,SIDM01000,WM-115
Ovary,SIDM01052,EFO-21
Prostate,SIDM00499,22RV1
Esophagus,SIDM00956,COLO-680N
Cervix,SIDM00864,DOTC2-4510
Endometrium,SIDM01045,EN
Bone,SIDM00201,EW-7
Lung,SIDM00100,NCI-H2595
Breast,SIDM00675,HCC38
Head_neck,SIDM00592,HO-1-N-1
Liver,SIDM00617,JHH-2
Pancreas,SIDM00301,KP-4
Lymphoid,SIDM00329,L-540
Skin,SIDM01107,SK-MEL-1
CNS,SIDM00659,M059J
Lung,SIDM00222,MPP-89
Lung,SIDM00740,NCI-H1703
Lung,SIDM00738,NCI-H1755
Lung,SIDM00758,NCI-H1993
Lung,SIDM00709,NCI-H2085
Lung,SIDM01116,NCI-H810
Bone,SIDM00569,NY
Soft_tissue,SIDM00353,RKN
Skin,SIDM01106,SK-MEL-24
Large_intestine,SIDM00835,SW1116
Lymphoid,SIDM00896,BC-1
Stomach,SIDM00251,TGBC11TKB
Kidney,SIDM00094,SN12C
Large_intestine,SIDM00681,LS-1034
Stomach,SIDM00260,MKN28
Lymphoid,SIDM00561,MLMA
Lymphoid,SIDM01023,MONO-MAC-6
Breast,SIDM00562,MRK-NU-1
CNS,SIDM01164,SW1783
Lymphoid,SIDM00417,U-266
Skin,SIDM00976,WM1552C
Pancreas,SIDM00132,BXPC-3
Bone,SIDM00858,G-292-CLONE-A141B1
CNS,SIDM00273,GI-1
Lung,SIDM00154,NCI-H2795
Ovary,SIDM00554,KURAMOCHI
Breast,SIDM00529,MDA-MB-157
CNS,SIDM00532,MOG-G-CCM
PNS,SIDM00258,NB12
Pancreas,SIDM01138,PANC-03-27
PNS,SIDM01098,SK-N-SH
Bone,SIDM00930,CAL-72
Breast,SIDM00920,CAMA-1
Lung,SIDM00293,LU-139
Skin,SIDM00545,MEWO
Lymphoid,SIDM00641,NAMALWA
Lung,SIDM00925,NCI-H441
Lung,SIDM01119,NCI-H727
Lymphoid,SIDM00462,OCI-AML3
Pancreas,SIDM01137,PANC-04-03
Lymphoid,SIDM01247,RAMOS-2G6-4C10
Lymphoid,SIDM00403,RPMI-8402
Large_intestine,SIDM00812,SW1417
Soft_tissue,SIDM01159,SW872
Pancreas,SIDM00411,YAPC
Bone,SIDM00266,ES1
Endometrium,SIDM01043,ESS-1
Skin,SIDM00291,HMV-II
Head_neck,SIDM00127,JHU-022
